"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
1,"A","ip",19,1522,7250,0,0
2,"A","ip",38,1627,8420,0,0
3,"A","ip",43,2041,8154,0,0
4,"A","ip",25,2118,7173,0,0
5,"A","ip",20,1668,8263,0,0
6,"A","ip",26,1870,10994,0,0
7,"A","ip",32,2661,8446,0,0
8,"A","ip",23,1945,7468,0,0
9,"A","ip",38,2708,6186,0,0
10,"A","ip",18,1616,6869,0,0
11,"A","ip",11,1521,6789,0,0
12,"A","ip",29,2363,9987,0,0
13,"A","ip",16,1997,7655,0,0
14,"A","ip",32,1724,8212,0,0
15,"A","ip",24,1717,6777,0,0
16,"A","ip",42,2172,8746,0,0
17,"A","ip",38,1918,6271,0,0
18,"A","ip",11,1665,7748,0,0
19,"A","ip",23,1775,7376,0,0
20,"A","ip",22,1902,7551,0,0
21,"A","ip",41,1783,4901,0,0
22,"A","ip",37,2122,7317,0,0
23,"A","ip",49,3140,10413,0,0
24,"A","ip",20,1708,7982,0,0
25,"A","ip",29,1722,8258,0,0
26,"A","ip",38,1985,7688,0,0
27,"A","ip",30,2257,8869,0,0
28,"A","ip",24,1632,6900,0,0
29,"A","ip",19,1997,7770,0,0
30,"A","ip",23,1666,7656,0,0
31,"A","ip",30,2470,6917,0,0
32,"A","ip",33,1913,6124,0,0
33,"A","ip",18,1823,7850,0,0
34,"A","ip",24,2129,7354,0,0
35,"A","ip",13,1654,7121,0,0
36,"A","ip",22,2085,8198,0,0
37,"A","ip",21,1774,7464,0,0
38,"A","ip",26,1698,6827,0,0
39,"A","ip",37,2588,7757,0,0
40,"A","ip",29,2857,11909,0,0
41,"A","ip",20,1687,7104,0,0
42,"A","ip",26,2221,10998,0,0
43,"A","ip",30,2039,7547,0,0
44,"A","ip",22,1558,7405,0,0
45,"A","ip",22,2438,8511,0,0
46,"A","ip",28,2000,7350,0,0
47,"A","ip",34,2184,9262,0,0
48,"A","ip",16,1670,6671,0,0
49,"A","ip",35,2408,9595,0,0
50,"A","ip",33,2006,8307,0,0
51,"A","ip",23,2505,7229,0,0
52,"A","ip",18,2137,8786,0,0
53,"A","ip",60,2304,7412,0,0
54,"A","ip",28,1857,7174,0,0
55,"A","ip",41,2670,11410,0,0
56,"A","ip",18,1890,6748,0,0
57,"A","ip",44,2077,7605,0,0
58,"A","ip",36,1605,7278,0,0
59,"A","ip",16,1499,6806,0,0
60,"A","ip",41,2071,9310,0,0
61,"A","ip",21,1776,7633,0,0
62,"A","ip",27,1589,6337,0,0
63,"A","ip",19,1615,7689,0,0
64,"A","ip",33,2096,6548,0,0
65,"A","ip",40,2046,7060,0,0
66,"A","ip",29,1819,7148,0,0
67,"A","ip",45,1832,9120,0,0
68,"A","ip",28,1968,9127,0,0
69,"A","ip",30,1788,8255,0,0
70,"A","ip",24,2076,7843,0,0
71,"A","ip",39,1832,7179,0,0
72,"A","ip",22,1807,6457,0,0
73,"A","ip",13,2045,7578,0,0
74,"A","ip",27,1120,6672,0,0
75,"A","ip",15,1777,7383,0,0
76,"A","ip",29,1896,9446,0,0
77,"A","ip",26,2013,6954,0,0
78,"A","ip",31,2421,11018,0,0
79,"A","ip",27,1744,7379,0,0
80,"A","ip",27,2507,8428,0,0
81,"A","ip",34,1843,8485,0,0
82,"A","ip",25,2398,12450,0,0
83,"A","ip",25,2068,7822,0,0
84,"A","ip",23,2393,9354,0,0
85,"A","ip",25,2154,9282,0,0
86,"A","ip",34,2003,8401,0,0
87,"A","ip",24,1571,6790,0,0
88,"A","ip",19,1656,7009,0,0
89,"A","ip",32,2227,8522,0,0
90,"A","ip",27,2096,10216,0,0
91,"A","ip",34,1958,7910,0,0
92,"A","ip",14,1640,3992,0,0
93,"A","ip",41,2540,10630,0,0
94,"A","ip",23,1639,7260,0,0
95,"A","ip",27,1850,11379,0,0
96,"A","ip",14,2198,6875,0,0
97,"A","ip",38,2474,8518,0,0
98,"A","ip",38,2365,12855,0,0
99,"A","ip",42,2741,10808,0,0
1,"A","ipdc",19,5366,15682,0,0
2,"A","ipdc",38,3963,15608,0,0
3,"A","ipdc",21,4493,19040,0,0
4,"A","ipdc",17,3933,14972,0,0
5,"A","ipdc",20,5209,24235,0,0
6,"A","ipdc",26,5875,21972,0,0
7,"A","ipdc",23,6591,21256,0,0
8,"A","ipdc",22,4153,21451,0,0
9,"A","ipdc",30,8546,22810,0,0
10,"A","ipdc",26,4990,19086,0,0
11,"A","ipdc",32,5073,14150,0,0
12,"A","ipdc",26,5969,18823,0,0
13,"A","ipdc",16,4906,19876,0,0
14,"A","ipdc",25,4272,14971,0,0
15,"A","ipdc",27,3716,19049,0,0
16,"A","ipdc",38,3414,12789,0,0
17,"A","ipdc",37,3063,12454,0,0
18,"A","ipdc",25,4166,15161,0,0
19,"A","ipdc",23,4603,16860,0,0
20,"A","ipdc",18,5381,19622,0,0
21,"A","ipdc",34,4617,14623,0,0
22,"A","ipdc",26,4498,17130,0,0
23,"A","ipdc",25,7789,29085,0,0
24,"A","ipdc",20,6089,15798,0,0
25,"A","ipdc",26,5259,24527,0,0
26,"A","ipdc",35,5353,19774,0,0
27,"A","ipdc",22,5068,20970,0,0
28,"A","ipdc",32,3113,13850,0,0
29,"A","ipdc",26,5563,24388,0,0
30,"A","ipdc",23,4082,16212,0,0
31,"A","ipdc",28,3511,11186,0,0
32,"A","ipdc",42,5969,19316,0,0
33,"A","ipdc",18,5859,20289,0,0
34,"A","ipdc",18,3962,16523,0,0
35,"A","ipdc",13,4224,12725,0,0
36,"A","ipdc",21,5681,19626,0,0
37,"A","ipdc",52,6743,21266,0,0
38,"A","ipdc",19,6237,21529,0,0
39,"A","ipdc",35,6234,21097,0,0
40,"A","ipdc",21,5603,29694,0,0
41,"A","ipdc",20,4293,15886,0,0
42,"A","ipdc",26,4844,22569,0,0
43,"A","ipdc",29,6335,18205,0,0
44,"A","ipdc",11,4247,18944,0,0
45,"A","ipdc",23,5037,15216,0,0
46,"A","ipdc",26,4442,16968,0,0
47,"A","ipdc",25,5256,22454,0,0
48,"A","ipdc",19,4590,16428,0,0
49,"A","ipdc",27,6533,25860,0,0
50,"A","ipdc",20,4633,25346,0,0
51,"A","ipdc",23,7843,16403,0,0
52,"A","ipdc",34,3589,15773,0,0
53,"A","ipdc",27,4770,11093,0,0
54,"A","ipdc",28,4302,11564,0,0
55,"A","ipdc",28,4619,26747,0,0
56,"A","ipdc",18,5295,19264,0,0
57,"A","ipdc",16,5628,19182,0,0
58,"A","ipdc",22,3994,15899,0,0
59,"A","ipdc",16,4554,10318,0,0
60,"A","ipdc",42,5707,17909,0,0
61,"A","ipdc",11,4404,15867,0,0
62,"A","ipdc",38,4106,13438,0,0
63,"A","ipdc",19,3712,13386,0,0
64,"A","ipdc",45,6252,26536,0,0
65,"A","ipdc",14,4872,13447,0,0
66,"A","ipdc",18,3981,15433,0,0
67,"A","ipdc",17,4450,14625,0,0
68,"A","ipdc",25,5062,16833,0,0
69,"A","ipdc",33,5167,14765,0,0
70,"A","ipdc",37,4915,20411,0,0
71,"A","ipdc",55,5134,21981,0,0
72,"A","ipdc",41,5897,20131,0,0
73,"A","ipdc",13,3937,15078,0,0
