"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
1,"B","ip",562,65040,233214,0,0
2,"B","ip",525,40857,124262,0,0
3,"B","ip",397,62980,231149,0,0
4,"B","ip",335,69536,283558,0,0
5,"B","ip",671,68498,244406,0,0
6,"B","ip",380,66345,224361,0,0
7,"B","ip",291,21204,65891,0,0
8,"B","ip",536,77682,319926,0,0
9,"B","ip",693,70284,263970,0,0
10,"B","ip",91,2502,6610,0,0
11,"B","ip",518,56989,211270,0,0
12,"B","ip",112,4699,23448,0,0
13,"B","ip",298,57848,182126,0,0
14,"B","ip",357,69969,253206,0,0
15,"B","ip",484,79220,294709,0,0
16,"B","ip",524,53149,178428,0,0
17,"B","ip",397,55032,161855,0,0
18,"B","ip",439,62986,227240,0,0
19,"B","ip",483,66498,233643,0,0
20,"B","ip",492,61398,226433,0,0
21,"B","ip",629,61740,221517,0,0
22,"B","ip",403,51284,184365,0,0
23,"B","ip",124,3095,26802,0,0
24,"B","ip",345,66972,259204,0,0
25,"B","ip",440,65125,271514,0,0
26,"B","ip",440,71584,285748,0,0
27,"B","ip",597,60509,201180,0,0
28,"B","ip",299,41787,138975,0,0
29,"B","ip",381,51389,133436,0,0
30,"B","ip",421,45840,185795,0,0
31,"B","ip",138,5911,42532,0,0
32,"B","ip",656,43216,149082,0,0
33,"B","ip",390,63487,240841,0,0
34,"B","ip",341,65940,226317,0,0
35,"B","ip",761,61087,231092,0,0
36,"B","ip",94,2723,15505,0,0
37,"B","ip",458,65189,259047,0,0
38,"B","ip",455,42661,169002,0,0
39,"B","ip",564,49325,201839,0,0
40,"B","ip",355,46508,156397,0,0
41,"B","ip",136,2523,17136,0,0
42,"B","ip",355,74050,245731,0,0
43,"B","ip",90,4737,19233,0,0
44,"B","ip",423,66126,266614,0,0
45,"B","ip",759,60618,201171,0,0
46,"B","ip",380,66617,241408,0,0
47,"B","ip",92,2181,15255,0,0
48,"B","ip",369,61125,249770,0,0
49,"B","ip",431,46635,139648,0,0
50,"B","ip",305,64212,190279,0,0
51,"B","ip",455,51109,230799,0,0
52,"B","ip",353,65859,246665,0,0
53,"B","ip",496,76059,276057,0,0
54,"B","ip",253,15730,90821,0,0
55,"B","ip",305,46251,148562,0,0
56,"B","ip",349,68981,268697,0,0
57,"B","ip",435,59171,184380,0,0
58,"B","ip",724,56446,223354,0,0
59,"B","ip",560,62293,256701,0,0
60,"B","ip",293,13380,95827,0,0
61,"B","ip",225,8832,35160,0,0
62,"B","ip",245,19949,85479,0,0
63,"B","ip",465,69448,244281,0,0
64,"B","ip",423,47417,130028,0,0
65,"B","ip",422,43174,107823,0,0
66,"B","ip",413,57802,204074,0,0
67,"B","ip",30,305,3588,0,0
68,"B","ip",436,47858,132901,0,0
69,"B","ip",452,63047,223311,0,0
70,"B","ip",444,75400,294176,0,0
71,"B","ip",127,2839,12868,0,0
72,"B","ip",487,57247,172012,0,0
73,"B","ip",458,38201,142418,0,0
74,"B","ip",451,55505,246212,0,0
75,"B","ip",363,33340,148521,0,0
