"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
1,"C","ip",247,5109,3666,22675,0
2,"C","ip",160,2579,2954,26107,0
3,"C","ip",132,991,506,11863,0
4,"C","ip",121,1329,470,5648,0
5,"C","ip",91,1023,603,5124,0
6,"C","ip",71,579,718,5711,0
7,"C","ip",236,2343,3777,36380,0
8,"C","ip",70,1127,516,4433,0
9,"C","ip",292,2685,8534,44293,0
10,"C","ip",66,287,192,3593,0
11,"C","ip",68,604,945,5828,0
12,"C","ip",111,1947,535,4801,0
13,"C","ip",54,286,411,2999,0
14,"C","ip",284,1051,1894,33732,0
15,"C","ip",196,3241,7626,47301,0
16,"C","ip",33,224,218,2342,0
17,"C","ip",55,549,427,2454,0
18,"C","ip",42,208,360,2585,0
19,"C","ip",166,2808,2325,22777,0
20,"C","ip",220,967,1062,14312,0
21,"C","ip",32,781,285,2611,0
22,"C","ip",48,273,359,2323,0
23,"C","ip",233,2061,2022,20761,0
24,"C","ip",47,1177,147,2649,0
25,"C","ip",50,1119,311,4255,0
26,"C","ip",52,245,467,3827,0
27,"C","ip",152,3714,1930,11579,0
28,"C","ip",95,979,1084,9724,0
29,"C","ip",65,549,507,4376,0
30,"C","ip",133,2040,1126,9610,0
31,"C","ip",233,2411,2348,29940,0
32,"C","ip",135,720,1203,19030,0
33,"C","ip",177,2727,1712,15957,0
34,"C","ip",148,3301,1729,11187,0
35,"C","ip",102,2031,870,11391,0
36,"C","ip",305,2078,2991,22724,0
37,"C","ip",156,1903,614,7541,0
38,"C","ip",63,670,376,3691,0
39,"C","ip",147,1655,570,6687,0
40,"C","ip",126,1702,1863,14638,0
41,"C","ip",273,3851,4047,20768,0
42,"C","ip",55,380,480,2841,0
43,"C","ip",169,1819,1198,14762,0
44,"C","ip",249,3944,1987,26830,0
45,"C","ip",219,3509,7438,34785,0
46,"C","ip",90,1682,1799,11866,0
47,"C","ip",122,697,943,8549,0
48,"C","ip",111,602,838,8231,0
49,"C","ip",145,888,790,7174,0
50,"C","ip",53,593,595,2520,0
51,"C","ip",164,1420,1658,9986,0
52,"C","ip",221,3159,1686,10295,0
