"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
1,"D","ip",30,1572,2644,0,0
2,"D","ip",107,4240,17782,0,0
3,"D","ip",70,3456,19338,0,0
4,"D","ip",49,3177,5343,0,0
5,"D","ip",78,10602,24297,0,0
6,"D","ip",47,4071,6104,0,0
7,"D","ip",166,23338,90421,0,0
8,"D","ip",23,594,1115,0,0
9,"D","ip",70,7113,30904,0,0
10,"D","ip",105,14851,71610,0,0
11,"D","ip",164,9452,39756,0,0
12,"D","ip",106,7562,6376,0,0
13,"D","ip",63,3744,8341,0,0
14,"D","ip",58,2920,8867,0,0
15,"D","ip",81,3484,4728,0,0
16,"D","ip",56,2363,3683,0,0
17,"D","ip",77,5590,20777,0,0
18,"D","ip",51,3723,5390,0,0
19,"D","ip",50,1187,8304,0,0
20,"D","ip",36,1426,5236,0,0
21,"D","ip",66,7441,18816,0,0
22,"D","ip",27,678,4563,0,0
23,"D","ip",27,680,2438,0,0
24,"D","ip",54,5016,23081,0,0
25,"D","ip",152,26592,91404,0,0
26,"D","ip",91,4701,28128,0,0
27,"D","ip",98,7012,13570,0,0
28,"D","ip",24,941,3521,0,0
29,"D","ip",42,1360,1290,0,0
30,"D","ip",168,16568,43979,0,0
31,"D","ip",74,5689,18062,0,0
32,"D","ip",60,4127,10504,0,0
33,"D","ip",124,6953,21183,0,0
34,"D","ip",10,470,730,0,0
35,"D","ip",75,4217,10018,0,0
36,"D","ip",109,13415,37250,0,0
37,"D","ip",50,1967,10320,0,0
38,"D","ip",64,2334,18212,0,0
39,"D","ip",65,3811,13257,0,0
40,"D","ip",43,1945,10009,0,0
41,"D","ip",52,2896,7229,0,0
42,"D","ip",37,2164,8003,0,0
43,"D","ip",15,367,576,0,0
44,"D","ip",46,2797,14628,0,0
45,"D","ip",78,4424,19006,0,0
46,"D","ip",39,3107,8862,0,0
47,"D","ip",34,2155,3372,0,0
48,"D","ip",42,4343,4112,0,0
49,"D","ip",69,3276,18502,0,0
50,"D","ip",40,1623,1688,0,0
51,"D","ip",58,2201,3795,0,0
52,"D","ip",43,3540,11398,0,0
53,"D","ip",66,4310,10435,0,0
