"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
1,"E","ip",115,6541,29818,0,0
2,"E","ip",71,7277,26716,0,0
3,"E","ip",86,7580,33367,0,0
4,"E","ip",89,3978,14277,0,0
5,"E","ip",94,6876,30886,0,0
6,"E","ip",36,1825,8888,0,0
7,"E","ip",120,5044,17848,0,0
8,"E","ip",444,39580,129068,0,0
9,"E","ip",100,4181,14631,0,0
10,"E","ip",65,2825,12108,0,0
11,"E","ip",425,67247,217899,0,0
12,"E","ip",50,2905,16878,0,0
13,"E","ip",58,2071,8731,0,0
14,"E","ip",93,7970,20451,0,0
15,"E","ip",63,5791,13650,0,0
16,"E","ip",43,2361,10689,0,0
17,"E","ip",187,10884,45603,0,0
18,"E","ip",63,4538,15640,0,0
19,"E","ip",52,2123,10289,0,0
20,"E","ip",527,66690,210495,0,0
21,"E","ip",198,11012,37915,0,0
22,"E","ip",53,2384,10722,0,0
23,"E","ip",97,6138,16238,0,0
24,"E","ip",42,2254,13768,0,0
25,"E","ip",86,7600,31938,0,0
26,"E","ip",169,20442,96485,0,0
27,"E","ip",61,2746,12065,0,0
28,"E","ip",27,1981,8610,0,0
29,"E","ip",256,14512,63240,0,0
30,"E","ip",44,2570,11289,0,0
31,"E","ip",40,2517,10996,0,0
32,"E","ip",66,2883,19497,0,0
33,"E","ip",126,4913,24978,0,0
34,"E","ip",50,1973,7457,0,0
35,"E","ip",30,2056,9666,0,0
36,"E","ip",592,69513,225819,0,0
37,"E","ip",204,17705,63879,0,0
38,"E","ip",43,4021,13975,0,0
39,"E","ip",208,12867,60399,0,0
40,"E","ip",88,4063,14361,0,0
41,"E","ip",173,15254,39930,0,0
42,"E","ip",63,4943,12796,0,0
43,"E","ip",137,5748,19193,0,0
44,"E","ip",121,5037,15845,0,0
45,"E","ip",36,3155,12654,0,0
46,"E","ip",40,2861,8953,0,0
47,"E","ip",63,3387,16915,0,0
48,"E","ip",45,2393,14629,0,0
49,"E","ip",118,7112,26021,0,0
50,"E","ip",273,34580,115855,0,0
51,"E","ip",45,2143,16225,0,0
52,"E","ip",46,2102,10940,0,0
53,"E","ip",393,35866,114806,0,0
54,"E","ip",95,5191,14050,0,0
55,"E","ip",823,91069,280001,0,0
56,"E","ip",694,59333,239751,0,0
57,"E","ip",39,2493,11794,0,0
58,"E","ip",261,18564,78075,0,0
59,"E","ip",73,2842,14973,0,0
60,"E","ip",292,35556,72709,0,0
61,"E","ip",46,2611,9444,0,0
62,"E","ip",70,2666,12335,0,0
63,"E","ip",47,3157,11010,0,0
64,"E","ip",270,23530,73617,0,0
65,"E","ip",48,2986,10466,0,0
66,"E","ip",369,53915,131236,0,0
67,"E","ip",38,2056,9167,0,0
68,"E","ip",37,3233,10625,0,0
69,"E","ip",684,76446,257281,0,0
70,"E","ip",42,2187,10012,0,0
71,"E","ip",37,2292,10332,0,0
72,"E","ip",113,6546,23779,0,0
73,"E","ip",108,7229,17098,0,0
74,"E","ip",939,135341,558558,0,0
75,"E","ip",148,7791,28308,0,0
76,"E","ip",57,2511,10026,0,0
77,"E","ip",29,2262,8635,0,0
78,"E","ip",92,2778,14542,0,0
79,"E","ip",36,2145,8269,0,0
80,"E","ip",228,14062,54762,0,0
81,"E","ip",38,2716,10265,0,0
82,"E","ip",38,2490,9526,0,0
83,"E","ip",36,3346,12066,0,0
